Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
7z,solverBased,0.206,1.0,1.0
7z,solverBased,0.207,1.0,1.0
7z,solverBased,0.208,1.0,1.0
7z,solverBased,0.209,1.0,1.0
7z,solverBased,0.21,1.0,1.0
7z,solverBased,0.211,1.0,1.0
7z,solverBased,0.212,1.0,1.0
7z,solverBased,0.213,1.0,1.0
7z,solverBased,0.214,1.0,1.0
7z,solverBased,0.215,1.0,1.0
7z,solverBased,0.216,1.0,1.0
7z,solverBased,0.217,1.0,1.0
7z,solverBased,0.218,1.0,1.0
7z,solverBased,0.219,1.0,1.0
7z,solverBased,0.22,1.0,1.0
7z,solverBased,0.221,1.0,1.0
7z,solverBased,0.222,1.0,1.0
7z,solverBased,0.223,1.0,1.0
7z,solverBased,0.224,1.0,1.0
7z,solverBased,0.225,1.0,1.0
7z,solverBased,0.226,1.0,1.0
7z,solverBased,0.227,1.0,1.0
7z,solverBased,0.228,1.0,1.0
7z,solverBased,0.229,1.0,1.0
7z,solverBased,0.23,1.0,1.0
7z,solverBased,0.231,1.0,1.0
7z,solverBased,0.232,1.0,1.0
7z,solverBased,0.233,1.0,1.0
7z,solverBased,0.234,1.0,1.0
7z,solverBased,0.235,1.0,1.0
7z,solverBased,0.236,1.0,1.0
7z,solverBased,0.237,1.0,1.0
7z,solverBased,0.238,1.0,1.0
7z,solverBased,0.239,1.0,1.0
7z,solverBased,0.24,1.0,1.0
7z,solverBased,0.241,1.0,1.0
7z,solverBased,0.242,1.0,1.0
7z,solverBased,0.243,1.0,1.0
7z,solverBased,0.244,1.0,1.0
7z,solverBased,0.245,1.0,1.0
7z,solverBased,0.246,1.0,1.0
7z,solverBased,0.247,1.0,1.0
7z,solverBased,0.248,1.0,1.0
7z,solverBased,0.249,1.0,1.0
7z,solverBased,0.25,1.0,1.0
7z,solverBased,0.251,1.0,1.0
7z,solverBased,0.252,1.0,1.0
7z,solverBased,0.253,1.0,1.0
7z,solverBased,0.254,1.0,1.0
7z,solverBased,0.255,1.0,1.0
7z,solverBased,0.256,1.0,1.0
7z,solverBased,0.257,1.0,1.0
7z,solverBased,0.258,1.0,1.0
7z,solverBased,0.259,1.0,1.0
7z,solverBased,0.26,1.0,1.0
7z,solverBased,0.261,1.0,1.0
7z,solverBased,0.262,1.0,1.0
7z,solverBased,0.263,1.0,1.0
7z,solverBased,0.264,1.0,1.0
7z,solverBased,0.265,1.0,1.0
7z,solverBased,0.266,1.0,1.0
7z,solverBased,0.267,1.0,1.0
7z,solverBased,0.268,1.0,1.0
7z,solverBased,0.269,1.0,1.0
7z,solverBased,0.27,1.0,1.0
7z,solverBased,0.271,1.0,1.0
7z,solverBased,0.272,1.0,1.0
7z,solverBased,0.273,1.0,1.0
7z,solverBased,0.274,1.0,1.0
7z,solverBased,0.275,1.0,1.0
7z,solverBased,0.276,1.0,1.0
7z,solverBased,0.277,1.0,1.0
7z,solverBased,0.278,1.0,1.0
7z,solverBased,0.279,1.0,1.0
7z,solverBased,0.28,1.0,1.0
7z,solverBased,0.281,1.0,1.0
7z,solverBased,0.282,1.0,1.0
7z,solverBased,0.283,1.0,1.0
7z,solverBased,0.284,1.0,1.0
7z,solverBased,0.285,1.0,1.0
7z,solverBased,0.286,1.0,1.0
7z,solverBased,0.287,1.0,1.0
7z,solverBased,0.288,1.0,1.0
7z,solverBased,0.289,1.0,1.0
7z,solverBased,0.29,1.0,1.0
7z,solverBased,0.291,1.0,1.0
7z,solverBased,0.292,1.0,1.0
7z,solverBased,0.293,1.0,1.0
7z,solverBased,0.294,1.0,1.0
7z,solverBased,0.295,1.0,1.0
7z,solverBased,0.296,1.0,1.0
7z,solverBased,0.297,1.0,1.0
7z,solverBased,0.298,1.0,1.0
7z,solverBased,0.299,1.0,1.0
7z,solverBased,0.3,1.0,1.0
7z,solverBased,0.301,1.0,1.0
7z,solverBased,0.302,1.0,1.0
7z,solverBased,0.303,1.0,1.0
7z,solverBased,0.304,1.0,1.0
7z,solverBased,0.305,1.0,1.0
7z,solverBased,0.306,1.0,1.0
7z,solverBased,0.307,1.0,1.0
7z,solverBased,0.308,1.0,1.0
7z,solverBased,0.309,1.0,1.0
7z,solverBased,0.31,1.0,1.0
7z,solverBased,0.311,1.0,1.0
7z,solverBased,0.312,1.0,1.0
7z,solverBased,0.313,1.0,1.0
7z,solverBased,0.314,1.0,1.0
7z,solverBased,0.315,1.0,1.0
7z,solverBased,0.316,1.0,1.0
7z,solverBased,0.317,1.0,1.0
7z,solverBased,0.318,1.0,1.0
7z,solverBased,0.319,1.0,1.0
7z,solverBased,0.32,1.0,1.0
7z,solverBased,0.321,1.0,1.0
7z,solverBased,0.322,1.0,1.0
7z,solverBased,0.323,1.0,1.0
7z,solverBased,0.324,1.0,1.0
7z,solverBased,0.325,1.0,1.0
7z,solverBased,0.326,1.0,1.0
7z,solverBased,0.327,1.0,1.0
7z,solverBased,0.328,1.0,1.0
