Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
Polly,solverBased,0.324,0.38,0.9980982775427316
Polly,solverBased,0.325,0.39,0.9981427927716432
Polly,solverBased,0.326,0.39,0.9981863296859932
Polly,solverBased,0.327,0.39,0.9982289083824136
Polly,solverBased,0.328,0.39,0.9982705485736342
Polly,solverBased,0.329,0.4,0.9983112695952588
Polly,solverBased,0.33,0.4,0.9983510904124376
Polly,solverBased,0.331,0.4,0.998390029626427
Polly,solverBased,0.332,0.4,0.9984281054810452
Polly,solverBased,0.333,0.4,0.9984653358690204
Polly,solverBased,0.334,0.65,0.9985017383382389
Polly,solverBased,0.335,0.65,0.9985373300978866
Polly,solverBased,0.336,0.65,0.9985721280244946
Polly,solverBased,0.337,0.65,0.9986061486678824
Polly,solverBased,0.338,0.65,0.9986394082570056
Polly,solverBased,0.339,0.65,0.9986719227057064
Polly,solverBased,0.34,0.65,0.9987037076183696
Polly,solverBased,0.341,0.65,0.9987347782954866
Polly,solverBased,0.342,0.65,0.998765149739126
Polly,solverBased,0.343,0.72,0.9987948366583148
Polly,solverBased,0.344,0.72,0.9988238534743296
Polly,solverBased,0.345,0.72,0.998852214325901
Polly,solverBased,0.346,0.72,0.9988799330743312
Polly,solverBased,0.347,0.73,0.9989070233085268
Polly,solverBased,0.348,0.73,0.9989334983499472
Polly,solverBased,0.349,0.73,0.9989593712574704
Polly,solverBased,0.35,0.73,0.998984654832179
Polly,solverBased,0.351,0.73,0.999009361622064
Polly,solverBased,0.352,0.73,0.9990335039266514
Polly,solverBased,0.353,0.73,0.9990570938015504
Polly,solverBased,0.354,0.73,0.9990801430629253
Polly,solverBased,0.355,0.77,0.999102663291892
Polly,solverBased,0.356,0.77,0.9991246658388416
Polly,solverBased,0.357,0.77,0.9991461618276885
Polly,solverBased,0.358,0.77,0.999167162160049
Polly,solverBased,0.359,0.77,0.9991876775193482
Polly,solverBased,0.36,0.77,0.9992077183748572
Polly,solverBased,0.361,0.78,0.999227294985662
Polly,solverBased,0.362,0.79,0.9992464174045644
Polly,solverBased,0.363,0.79,0.9992650954819166
Polly,solverBased,0.364,0.79,0.999283338869391
Polly,solverBased,0.365,0.81,0.9993011570236852
Polly,solverBased,0.366,0.81,0.9993185592101624
Polly,solverBased,0.367,0.81,0.9993355545064312
Polly,solverBased,0.368,0.81,0.9993521518058632
Polly,solverBased,0.369,0.81,0.9993683598210494
Polly,solverBased,0.37,0.81,0.9993841870871982
Polly,solverBased,0.371,0.81,0.999399641965474
Polly,solverBased,0.372,0.81,0.9994147326462784
Polly,solverBased,0.373,0.81,0.9994294671524744
Polly,solverBased,0.374,0.81,0.9994438533425553
Polly,solverBased,0.375,0.81,0.9994578989137572
Polly,solverBased,0.376,0.81,0.99947161140512
Polly,solverBased,0.377,0.81,0.9994849982004912
Polly,solverBased,0.378,0.81,0.9994980665314814
Polly,solverBased,0.379,0.81,0.9995108234803648
Polly,solverBased,0.38,0.81,0.9995232759829318
Polly,solverBased,0.381,0.82,0.9995354308312884
Polly,solverBased,0.382,0.82,0.99954729467661
Polly,solverBased,0.383,0.82,0.9995588740318438
Polly,solverBased,0.384,0.82,0.9995701752743656
Polly,solverBased,0.385,0.82,0.999581204648588
Polly,solverBased,0.386,0.82,0.9995919682685244
Polly,solverBased,0.387,0.82,0.9996024721203062
Polly,solverBased,0.388,0.82,0.9996127220646556
Polly,solverBased,0.389,0.82,0.999622723839315
Polly,solverBased,0.39,0.83,0.9996324830614336
Polly,solverBased,0.391,0.83,0.9996420052299094
Polly,solverBased,0.392,0.83,0.999651295727692
Polly,solverBased,0.393,0.83,0.9996603598240424
Polly,solverBased,0.394,0.83,0.9996692026767534
Polly,solverBased,0.395,0.83,0.99967782933433
Polly,solverBased,0.396,0.83,0.9996862447381296
Polly,solverBased,0.397,0.83,0.9996944537244656
Polly,solverBased,0.398,0.84,0.9997024610266712
Polly,solverBased,0.399,0.84,0.9997102712771276
Polly,solverBased,0.4,0.84,0.9997178890092544
Polly,solverBased,0.401,0.84,0.9997253186594636
Polly,solverBased,0.402,0.84,0.9997325645690802
Polly,solverBased,0.403,0.85,0.9997396309862256
Polly,solverBased,0.404,0.85,0.9997465220676685
Polly,solverBased,0.405,0.85,0.99975324188064
Polly,solverBased,0.406,0.85,0.9997597944046184
Polly,solverBased,0.407,0.85,0.9997661835330788
Polly,solverBased,0.408,0.85,0.999772413075212
Polly,solverBased,0.409,0.85,0.9997784867576116
Polly,solverBased,0.41,0.85,0.9997844082259292
Polly,solverBased,0.411,0.85,0.9997901810465016
Polly,solverBased,0.412,0.85,0.9997958087079444
Polly,solverBased,0.413,0.85,0.9998012946227194
Polly,solverBased,0.414,0.85,0.9998066421286717
Polly,solverBased,0.415,0.85,0.9998118544905374
Polly,solverBased,0.416,0.85,0.9998169349014252
Polly,solverBased,0.417,0.85,0.9998218864842684
Polly,solverBased,0.418,0.85,0.9998267122932524
Polly,solverBased,0.419,0.85,0.9998314153152128
Polly,solverBased,0.42,0.85,0.9998359984710088
Polly,solverBased,0.421,0.85,0.9998404646168716
Polly,solverBased,0.422,0.85,0.9998448165457258
Polly,solverBased,0.423,0.85,0.999849056988487
Polly,solverBased,0.424,0.85,0.9998531886153356
Polly,solverBased,0.425,0.85,0.9998572140369638
Polly,solverBased,0.426,0.85,0.999861135805804
Polly,solverBased,0.427,0.85,0.999864956417228
Polly,solverBased,0.428,0.86,0.9998686783107288
Polly,solverBased,0.429,0.86,0.9998723038710764
Polly,solverBased,0.43,0.86,0.9998758354294532
Polly,solverBased,0.431,0.86,0.9998792752645672
Polly,solverBased,0.432,0.9,0.999882625603745
