Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
Polly,SRSSampling,0.239,1.0,0.98734813619031
Polly,SRSSampling,0.24,1.0,0.9876115356191506
Polly,SRSSampling,0.241,1.0,0.9878697873514478
Polly,SRSSampling,0.242,1.0,0.9881229854060825
Polly,SRSSampling,0.243,1.0,0.988371222205318
Polly,SRSSampling,0.244,1.0,0.9886145885998642
Polly,SRSSampling,0.245,1.0,0.9888531738935732
Polly,SRSSampling,0.246,1.0,0.989087065867785
Polly,SRSSampling,0.247,1.0,0.9893163508053194
Polly,SRSSampling,0.248,1.0,0.9895411135141192
Polly,SRSSampling,0.249,1.0,0.9897614373505536
Polly,SRSSampling,0.25,1.0,0.9899774042423816
Polly,SRSSampling,0.251,1.0,0.9901890947113832
Polly,SRSSampling,0.252,1.0,0.990396587895662
Polly,SRSSampling,0.253,1.0,0.9905999615716212
Polly,SRSSampling,0.254,1.0,0.9907992921756196
Polly,SRSSampling,0.255,1.0,0.9909946548253142
Polly,SRSSampling,0.256,1.0,0.9911861233406876
Polly,SRSSampling,0.257,1.0,0.9913737702647676
Polly,SRSSampling,0.258,1.0,0.9915576668840472
Polly,SRSSampling,0.259,1.0,0.9917378832485988
Polly,SRSSampling,0.26,1.0,0.9919144881918986
Polly,SRSSampling,0.261,1.0,0.9920875493503548
Polly,SRSSampling,0.262,1.0,0.9922571331825512
Polly,SRSSampling,0.263,1.0,0.9924233049882052
Polly,SRSSampling,0.264,1.0,0.9925861289268456
Polly,SRSSampling,0.265,1.0,0.9927456680362156
Polly,SRSSampling,0.266,1.0,0.9929019842504014
Polly,SRSSampling,0.267,1.0,0.9930551384176928
Polly,SRSSampling,0.268,1.0,0.9932051903181784
Polly,SRSSampling,0.269,1.0,0.9933521986810786
Polly,SRSSampling,0.27,1.0,0.993496221201822
Polly,SRSSampling,0.271,1.0,0.993637314558864
Polly,SRSSampling,0.272,1.0,0.9937755344302583
Polly,SRSSampling,0.273,1.0,0.9939109355099768
Polly,SRSSampling,0.274,1.0,0.9940435715239871
Polly,SRSSampling,0.275,1.0,0.9941734952460892
Polly,SRSSampling,0.276,1.0,0.9943007585135132
Polly,SRSSampling,0.277,1.0,0.994425412242282
Polly,SRSSampling,0.278,1.0,0.9945475064423456
Polly,SRSSampling,0.279,1.0,0.9946670902324838
Polly,SRSSampling,0.28,1.0,0.9947842118549856
Polly,SRSSampling,0.281,1.0,0.9948989186901062
Polly,SRSSampling,0.282,1.0,0.995011257270306
Polly,SRSSampling,0.283,1.0,0.995121273294272
Polly,SRSSampling,0.284,1.0,0.9952290116407282
Polly,SRSSampling,0.285,1.0,0.995334516382034
Polly,SRSSampling,0.286,1.0,0.9954378307975784
Polly,SRSSampling,0.287,1.0,0.995538997386966
Polly,SRSSampling,0.288,1.0,0.9956380578830064
Polly,SRSSampling,0.289,1.0,0.9957350532645012
Polly,SRSSampling,0.29,1.0,0.9958300237688364
Polly,SRSSampling,0.291,1.0,0.995923008904383
Polly,SRSSampling,0.292,1.0,0.996014047462706
Polly,SRSSampling,0.293,1.0,0.9961031775305854
Polly,SRSSampling,0.294,1.0,0.9961904365018528
Polly,SRSSampling,0.295,1.0,0.996275861089046
Polly,SRSSampling,0.296,1.0,0.9963594873348824
Polly,SRSSampling,0.297,1.0,0.996441350623556
Polly,SRSSampling,0.298,1.0,0.9965214856918588
Polly,SRSSampling,0.299,1.0,0.9965999266401312
Polly,SRSSampling,0.3,1.0,0.99667670694304
Polly,SRSSampling,0.301,1.0,0.9967518594601912
Polly,SRSSampling,0.302,1.0,0.9968254164465762
Polly,SRSSampling,0.303,1.0,0.9968974095628554
Polly,SRSSampling,0.304,1.0,0.9969678698854818
Polly,SRSSampling,0.305,1.0,0.9970368279166648
Polly,SRSSampling,0.306,1.0,0.9971043135941808
Polly,SRSSampling,0.307,1.0,0.9971703563010256
Polly,SRSSampling,0.308,1.0,0.997234984874921
Polly,SRSSampling,0.309,1.0,0.997298227617666
Polly,SRSSampling,0.31,1.0,0.9973601123043448
Polly,SRSSampling,0.311,1.0,0.9974206661923884
Polly,SRSSampling,0.312,1.0,0.9974799160304922
Polly,SRSSampling,0.313,1.0,0.997537888067394
Polly,SRSSampling,0.314,1.0,0.9975946080605114
Polly,SRSSampling,0.315,1.0,0.9976501012844446
Polly,SRSSampling,0.316,1.0,0.9977043925393414
Polly,SRSSampling,0.317,1.0,0.9977575061591304
Polly,SRSSampling,0.318,1.0,0.9978094660196236
Polly,SRSSampling,0.319,1.0,0.9978602955464894
Polly,SRSSampling,0.32,1.0,0.9979100177230964
Polly,SRSSampling,0.321,1.0,0.9979586550982352
Polly,SRSSampling,0.322,1.0,0.9980062297937132
Polly,SRSSampling,0.323,1.0,0.9980527635118304
Polly,SRSSampling,0.324,1.0,0.9980982775427316
Polly,SRSSampling,0.325,1.0,0.9981427927716432
Polly,SRSSampling,0.326,1.0,0.9981863296859932
Polly,SRSSampling,0.327,1.0,0.9982289083824136
Polly,SRSSampling,0.328,1.0,0.9982705485736342
Polly,SRSSampling,0.329,1.0,0.9983112695952588
Polly,SRSSampling,0.33,1.0,0.9983510904124376
Polly,SRSSampling,0.331,1.0,0.998390029626427
Polly,SRSSampling,0.332,1.0,0.9984281054810452
Polly,SRSSampling,0.333,1.0,0.9984653358690204
Polly,SRSSampling,0.334,1.0,0.9985017383382389
Polly,SRSSampling,0.335,1.0,0.9985373300978866
Polly,SRSSampling,0.336,1.0,0.9985721280244946
Polly,SRSSampling,0.337,1.0,0.9986061486678824
Polly,SRSSampling,0.338,1.0,0.9986394082570056
Polly,SRSSampling,0.339,1.0,0.9986719227057064
Polly,SRSSampling,0.34,1.0,0.9987037076183696
Polly,SRSSampling,0.341,1.0,0.9987347782954866
Polly,SRSSampling,0.342,1.0,0.998765149739126
Polly,SRSSampling,0.343,1.0,0.9987948366583148
Polly,SRSSampling,0.344,1.0,0.9988238534743296
Polly,SRSSampling,0.345,1.0,0.998852214325901
Polly,SRSSampling,0.346,1.0,0.9988799330743312
Polly,SRSSampling,0.347,1.0,0.9989070233085268
Polly,SRSSampling,0.348,1.0,0.9989334983499472
Polly,SRSSampling,0.349,1.0,0.9989593712574704
Polly,SRSSampling,0.35,1.0,0.998984654832179
Polly,SRSSampling,0.351,1.0,0.999009361622064
Polly,SRSSampling,0.352,1.0,0.9990335039266514
Polly,SRSSampling,0.353,1.0,0.9990570938015504
Polly,SRSSampling,0.354,1.0,0.9990801430629253
Polly,SRSSampling,0.355,1.0,0.999102663291892
Polly,SRSSampling,0.356,1.0,0.9991246658388416
Polly,SRSSampling,0.357,1.0,0.9991461618276885
Polly,SRSSampling,0.358,1.0,0.999167162160049
Polly,SRSSampling,0.359,1.0,0.9991876775193482
Polly,SRSSampling,0.36,1.0,0.9992077183748572
Polly,SRSSampling,0.361,1.0,0.999227294985662
Polly,SRSSampling,0.362,1.0,0.9992464174045644
Polly,SRSSampling,0.363,1.0,0.9992650954819166
Polly,SRSSampling,0.364,1.0,0.999283338869391
Polly,SRSSampling,0.365,1.0,0.9993011570236852
Polly,SRSSampling,0.366,1.0,0.9993185592101624
Polly,SRSSampling,0.367,1.0,0.9993355545064312
Polly,SRSSampling,0.368,1.0,0.9993521518058632
Polly,SRSSampling,0.369,1.0,0.9993683598210494
Polly,SRSSampling,0.37,1.0,0.9993841870871982
Polly,SRSSampling,0.371,1.0,0.999399641965474
Polly,SRSSampling,0.372,1.0,0.9994147326462784
Polly,SRSSampling,0.373,1.0,0.9994294671524744
Polly,SRSSampling,0.374,1.0,0.9994438533425553
Polly,SRSSampling,0.375,1.0,0.9994578989137572
Polly,SRSSampling,0.376,1.0,0.99947161140512
Polly,SRSSampling,0.377,1.0,0.9994849982004912
Polly,SRSSampling,0.378,1.0,0.9994980665314814
Polly,SRSSampling,0.379,1.0,0.9995108234803648
Polly,SRSSampling,0.38,1.0,0.9995232759829318
Polly,SRSSampling,0.381,1.0,0.9995354308312884
Polly,SRSSampling,0.382,1.0,0.99954729467661
Polly,SRSSampling,0.383,1.0,0.9995588740318438
Polly,SRSSampling,0.384,1.0,0.9995701752743656
Polly,SRSSampling,0.385,1.0,0.999581204648588
Polly,SRSSampling,0.386,1.0,0.9995919682685244
Polly,SRSSampling,0.387,1.0,0.9996024721203062
Polly,SRSSampling,0.388,1.0,0.9996127220646556
Polly,SRSSampling,0.389,1.0,0.999622723839315
Polly,SRSSampling,0.39,1.0,0.9996324830614336
Polly,SRSSampling,0.391,1.0,0.9996420052299094
Polly,SRSSampling,0.392,1.0,0.999651295727692
Polly,SRSSampling,0.393,1.0,0.9996603598240424
Polly,SRSSampling,0.394,1.0,0.9996692026767534
Polly,SRSSampling,0.395,1.0,0.99967782933433
Polly,SRSSampling,0.396,1.0,0.9996862447381296
Polly,SRSSampling,0.397,1.0,0.9996944537244656
Polly,SRSSampling,0.398,1.0,0.9997024610266712
Polly,SRSSampling,0.399,1.0,0.9997102712771276
Polly,SRSSampling,0.4,1.0,0.9997178890092544
Polly,SRSSampling,0.401,1.0,0.9997253186594636
Polly,SRSSampling,0.402,1.0,0.9997325645690802
Polly,SRSSampling,0.403,1.0,0.9997396309862256
Polly,SRSSampling,0.404,1.0,0.9997465220676685
Polly,SRSSampling,0.405,1.0,0.99975324188064
Polly,SRSSampling,0.406,1.0,0.9997597944046184
Polly,SRSSampling,0.407,1.0,0.9997661835330788
Polly,SRSSampling,0.408,1.0,0.999772413075212
Polly,SRSSampling,0.409,1.0,0.9997784867576116
Polly,SRSSampling,0.41,1.0,0.9997844082259292
Polly,SRSSampling,0.411,1.0,0.9997901810465016
Polly,SRSSampling,0.412,1.0,0.9997958087079444
Polly,SRSSampling,0.413,1.0,0.9998012946227194
Polly,SRSSampling,0.414,1.0,0.9998066421286717
Polly,SRSSampling,0.415,1.0,0.9998118544905374
Polly,SRSSampling,0.416,1.0,0.9998169349014252
Polly,SRSSampling,0.417,1.0,0.9998218864842684
Polly,SRSSampling,0.418,1.0,0.9998267122932524
Polly,SRSSampling,0.419,1.0,0.9998314153152128
Polly,SRSSampling,0.42,1.0,0.9998359984710088
Polly,SRSSampling,0.421,1.0,0.9998404646168716
Polly,SRSSampling,0.422,1.0,0.9998448165457258
Polly,SRSSampling,0.423,1.0,0.999849056988487
Polly,SRSSampling,0.424,1.0,0.9998531886153356
Polly,SRSSampling,0.425,1.0,0.9998572140369638
Polly,SRSSampling,0.426,1.0,0.999861135805804
Polly,SRSSampling,0.427,1.0,0.999864956417228
Polly,SRSSampling,0.428,1.0,0.9998686783107288
Polly,SRSSampling,0.429,1.0,0.9998723038710764
Polly,SRSSampling,0.43,1.0,0.9998758354294532
Polly,SRSSampling,0.431,1.0,0.9998792752645672
Polly,SRSSampling,0.432,1.0,0.999882625603745
Polly,SRSSampling,0.433,1.0,0.9998858886240024
Polly,SRSSampling,0.434,1.0,0.9998890664530952
Polly,SRSSampling,0.435,1.0,0.9998921611705506
Polly,SRSSampling,0.436,1.0,0.9998951748086772
Polly,SRSSampling,0.437,1.0,0.9998981093535568
Polly,SRSSampling,0.438,1.0,0.9999009667460173
Polly,SRSSampling,0.439,1.0,0.9999037488825844
Polly,SRSSampling,0.44,1.0,0.9999064576164188
Polly,SRSSampling,0.441,1.0,0.9999090947582324
Polly,SRSSampling,0.442,1.0,0.9999116620771862
Polly,SRSSampling,0.443,1.0,0.999914161301774
Polly,SRSSampling,0.444,1.0,0.9999165941206852
Polly,SRSSampling,0.445,1.0,0.999918962183654
Polly,SRSSampling,0.446,1.0,0.9999212671022882
Polly,SRSSampling,0.447,1.0,0.9999235104508865
Polly,SRSSampling,0.448,1.0,0.9999256937672348
Polly,SRSSampling,0.449,1.0,0.9999278185533912
Polly,SRSSampling,0.45,1.0,0.9999298862764532
Polly,SRSSampling,0.451,1.0,0.9999318983693092
Polly,SRSSampling,0.452,1.0,0.9999338562313766
Polly,SRSSampling,0.453,1.0,0.9999357612293258
Polly,SRSSampling,0.454,1.0,0.9999376146977872
Polly,SRSSampling,0.455,1.0,0.9999394179400471
Polly,SRSSampling,0.456,1.0,0.9999411722287282
Polly,SRSSampling,0.457,1.0,0.999942878806456
Polly,SRSSampling,0.458,1.0,0.999944538886513
Polly,SRSSampling,0.459,1.0,0.9999461536534806
Polly,SRSSampling,0.46,1.0,0.9999477242638652
Polly,SRSSampling,0.461,1.0,0.9999492518467148
Polly,SRSSampling,0.462,1.0,0.9999507375042208
Polly,SRSSampling,0.463,1.0,0.9999521823123108
Polly,SRSSampling,0.464,1.0,0.9999535873212244
Polly,SRSSampling,0.465,1.0,0.9999549535560828
Polly,SRSSampling,0.466,1.0,0.9999562820174432
Polly,SRSSampling,0.467,1.0,0.999957573681844
Polly,SRSSampling,0.468,1.0,0.9999588295023368
Polly,SRSSampling,0.469,1.0,0.9999600504090096
Polly,SRSSampling,0.47,1.0,0.9999612373094988
Polly,SRSSampling,0.471,1.0,0.9999623910894896
Polly,SRSSampling,0.472,1.0,0.999963512613207
Polly,SRSSampling,0.473,1.0,0.999964602723898
Polly,SRSSampling,0.474,1.0,0.9999656622443004
Polly,SRSSampling,0.475,1.0,0.999966691977106
Polly,SRSSampling,0.476,1.0,0.9999676927054114
Polly,SRSSampling,0.477,1.0,0.9999686651931604
Polly,SRSSampling,0.478,1.0,0.9999696101855776
Polly,SRSSampling,0.479,1.0,0.9999705284095922
Polly,SRSSampling,0.48,1.0,0.9999714205742536
Polly,SRSSampling,0.481,1.0,0.9999722873711376
Polly,SRSSampling,0.482,1.0,0.999973129474746
Polly,SRSSampling,0.483,1.0,0.9999739475428954
Polly,SRSSampling,0.484,1.0,0.9999747422170984
Polly,SRSSampling,0.485,1.0,0.9999755141229384
Polly,SRSSampling,0.486,1.0,0.9999762638704356
Polly,SRSSampling,0.487,1.0,0.9999769920544036
Polly,SRSSampling,0.488,1.0,0.9999776992548016
Polly,SRSSampling,0.489,1.0,0.999978386037076
Polly,SRSSampling,0.49,1.0,0.999979052952498
Polly,SRSSampling,0.491,1.0,0.9999797005384908
Polly,SRSSampling,0.492,1.0,0.9999803293189518
Polly,SRSSampling,0.493,1.0,0.9999809398045676
Polly,SRSSampling,0.494,1.0,0.9999815324931222
Polly,SRSSampling,0.495,1.0,0.999982107869798
Polly,SRSSampling,0.496,1.0,0.9999826664074712
Polly,SRSSampling,0.497,1.0,0.9999832085670004
Polly,SRSSampling,0.498,1.0,0.9999837347975092
