Sample Set Size,Max Area,Min Area
1958,0.0006102082330059488,-0.999389791766994
1959,0.0006099480638882548,-0.9993900519361117
1960,0.0006096881599915172,-0.9993903118400085
1961,0.0006094285209103933,-0.9993905714790896
1962,0.0006091691462404292,-0.9993908308537596
1963,0.0006089100355779475,-0.999391089964422
1964,0.0006086511885201595,-0.9993913488114798
1965,0.0006083926046649424,-0.9993916073953351
1966,0.0006081342836110615,-0.9993918657163889
1967,0.0006078762249583924,-0.9993921237750416
1968,0.0006076184283070329,-0.999392381571693
1969,0.0006073608932583019,-0.9993926391067417
1970,0.0006071036194142954,-0.9993928963805857
1971,0.0006068466063778866,-0.9993931533936221
1972,0.0006065898537526149,-0.9993934101462474
1973,0.0006063333611430188,-0.999393666638857
1974,0.0006060771281541921,-0.9993939228718458
1975,0.0006058211543924497,-0.9993941788456076
1976,0.0006055654394644394,-0.9993944345605356
1977,0.0006053099829779196,-0.9993946900170221
1978,0.0006050547845412035,-0.9993949452154588
1979,0.0006047998437636037,-0.9993952001562364
1980,0.0006045451602552099,-0.9993954548397448
1981,0.0006042907336265557,-0.9993957092663734
1982,0.0006040365634895073,-0.9993959634365105
1983,0.0006037826494562637,-0.9993962173505437
1984,0.0006035289911401343,-0.9993964710088599
1985,0.0006032755881548724,-0.9993967244118451
1986,0.0006030224401152307,-0.9993969775598848
1987,0.0006027695466368499,-0.9993972304533632
1988,0.000602516907335704,-0.9993974830926643
1989,0.0006022645218289879,-0.999397735478171
1990,0.0006020123897345631,-0.9993979876102654
1991,0.0006017605106707347,-0.9993982394893293
1992,0.0006015088842570293,-0.999398491115743
1993,0.0006012575101135287,-0.9993987424898865
1994,0.0006010063878610916,-0.9993989936121389
1995,0.0006007555171212431,-0.9993992444828788
1996,0.0006005048975163962,-0.9993994951024836
1997,0.0006002545286696304,-0.9993997454713304
1998,0.0006000044102049129,-0.9993999955897951
