Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
BerkeleyDBC,RandomSampling,0.14,1.0,1.0
BerkeleyDBC,RandomSampling,0.141,1.0,1.0
BerkeleyDBC,RandomSampling,0.142,1.0,1.0
BerkeleyDBC,RandomSampling,0.143,1.0,1.0
BerkeleyDBC,RandomSampling,0.144,1.0,1.0
BerkeleyDBC,RandomSampling,0.145,1.0,1.0
BerkeleyDBC,RandomSampling,0.146,1.0,1.0
BerkeleyDBC,RandomSampling,0.147,1.0,1.0
BerkeleyDBC,RandomSampling,0.148,1.0,1.0
BerkeleyDBC,RandomSampling,0.149,1.0,1.0
BerkeleyDBC,DiversifiedDistanceBased,0.0,0.0,0.0
BerkeleyDBC,DiversifiedDistanceBased,0.001,0.25,0.2600336748760569
BerkeleyDBC,DiversifiedDistanceBased,0.002,0.34,0.45261495558317344
BerkeleyDBC,DiversifiedDistanceBased,0.003,0.45,0.5951979978951478
BerkeleyDBC,DiversifiedDistanceBased,0.004,0.63,0.7007315973891347
BerkeleyDBC,DiversifiedDistanceBased,0.005,0.66,0.7788192611584568
BerkeleyDBC,DiversifiedDistanceBased,0.006,0.68,0.8365813179719019
BerkeleyDBC,DiversifiedDistanceBased,0.007,0.76,0.8792954066919234
BerkeleyDBC,DiversifiedDistanceBased,0.008,0.8,0.9108721729662121
BerkeleyDBC,DiversifiedDistanceBased,0.009,0.92,0.9342084678917881
BerkeleyDBC,DiversifiedDistanceBased,0.01,0.98,0.9514495148694271
BerkeleyDBC,DiversifiedDistanceBased,0.011,0.99,0.9641834483270406
BerkeleyDBC,DiversifiedDistanceBased,0.012,1.0,0.9735856261112653
BerkeleyDBC,DiversifiedDistanceBased,0.013,1.0,0.9805256507836428
BerkeleyDBC,DiversifiedDistanceBased,0.014,1.0,0.9856467120592407
BerkeleyDBC,DiversifiedDistanceBased,0.015,1.0,0.9894243911456159
BerkeleyDBC,DiversifiedDistanceBased,0.016,1.0,0.9922102301271877
BerkeleyDBC,DiversifiedDistanceBased,0.017,1.0,0.9942640036345654
BerkeleyDBC,DiversifiedDistanceBased,0.018,1.0,0.9957776150600656
