Case Study,Sampling Strategy,Sample Set Size,Area
Polly,random,1420,-5.876353263220115e-05
Polly,random,1430,-6.367435702759454e-05
Polly,random,1440,-6.851706918728347e-05
Polly,random,1450,-7.329307637584345e-05
Polly,random,1460,-7.133708068864503e-05
Polly,random,1470,-7.598374702635066e-05
Polly,random,1480,-8.056770434979765e-05
Polly,random,1490,-8.509021355108224e-05
Polly,random,1500,-8.155250194319746e-05
Polly,random,1510,-7.995576437045466e-05
Polly,random,1520,-8.430116427512764e-05
Polly,random,1530,-8.858983472232387e-05
Polly,random,1540,-8.548954605164373e-05
Polly,random,1550,-8.366804015742632e-05
Polly,random,1560,-8.779303139928965e-05
Polly,random,1570,-9.186554081124988e-05
Polly,random,1580,-9.588656361095903e-05
Polly,random,1590,-7.585707001052077e-05
Polly,random,1600,-6.911133933027023e-05
Polly,random,1610,-7.298362741684165e-05
Polly,random,1620,-7.680816736677047e-05
Polly,random,1630,-8.058583689016141e-05
Polly,random,1640,-8.431749231555311e-05
Polly,random,1650,-8.800396923705984e-05
Polly,random,1660,-9.164608313815163e-05
Polly,random,1670,-9.524462999304831e-05
Polly,random,1680,-9.880038684666199e-05
Polly,random,1690,-0.0001023141123739739
Polly,random,1700,-0.00010578654741969138
Polly,random,1710,-0.00010788508218565867
Polly,random,1720,-0.00011127709006678991
Polly,random,1730,-0.0001146299281362579
Polly,random,1740,-0.00010327760428063731
Polly,random,1750,-9.855411098567207e-05
Polly,random,1760,-0.00010179342577330207
Polly,random,1770,-0.00010499617829055908
Polly,random,1780,-0.00010816298405091253
Polly,random,1790,-0.00011129444482862249
Polly,random,1800,-0.00011439114903995928
Polly,random,1810,-0.00011678700544513568
Polly,random,1820,-0.00011981591017143323
Polly,random,1830,-0.00012281174705798705
Polly,random,1840,-0.0001257750546560077
Polly,random,1850,-0.00012870635988486233
Polly,random,1860,-0.00013160617834442288
Polly,random,1870,-0.00013447501461740278
Polly,random,1880,-0.00013731336256205578
Polly,random,1890,-0.00014012170559559155
Polly,random,1900,-0.00013956718363531762
Polly,random,1910,-0.00013298359336450194
Polly,random,1920,-0.0001357047218232688
Polly,random,1930,-0.00013839767999149568
Polly,random,1940,-0.00014106290303066707
Polly,random,1950,-0.000143034150518293
Polly,random,1960,-0.00012697850667516035
Polly,random,1970,-0.00012956304725233482
Polly,random,1980,-0.00011612150641149462
Polly,random,1990,-0.00011465427693215999
Polly,random,2000,-0.00011449507707937983
Polly,random,2010,-0.0001169776174654235
Polly,random,2020,-0.00011943560123901849
Polly,random,2030,-0.00011320272426900084
Polly,random,2040,-0.00011294600865590206
Polly,random,2050,-0.00011533246957165834
Polly,random,2060,-0.00010636244876095001
Polly,random,2070,-0.00010603628137101038
Polly,random,2080,-0.00010835429611006541
Polly,random,2090,-0.00011065014873456333
Polly,random,2100,-0.00010892415553201122
Polly,random,2110,-0.00010784329346623092
Polly,random,2120,-0.00010674120031850744
Polly,random,2130,-0.0001089515081580995
Polly,random,2140,-0.00011047451014223877
Polly,random,2150,-0.00011264382731241513
Polly,random,2160,-9.279307538706114e-05
Polly,random,2170,-9.492253155075709e-05
