Case Study,Sampling Strategy,Robustness,Confidence Difference
BerkeleyDBC,RandomSampling,0.001,0.01660444940807572
BerkeleyDBC,RandomSampling,0.002,0.07185092096861823
BerkeleyDBC,RandomSampling,0.003,0.02494723844530844
BerkeleyDBC,RandomSampling,0.004,0.005173153732042579
BerkeleyDBC,RandomSampling,0.005,-0.00812612157195225
BerkeleyDBC,RandomSampling,0.006,-0.035545808520836164
BerkeleyDBC,RandomSampling,0.007,-0.027626927915496813
BerkeleyDBC,RandomSampling,0.008,-0.014861188496806843
BerkeleyDBC,RandomSampling,0.009,-0.0076954385519864
BerkeleyDBC,RandomSampling,0.01,-0.026535719545730863
BerkeleyDBC,RandomSampling,0.011,-0.041750957006802314
BerkeleyDBC,RandomSampling,0.012,-0.043676320812889635
BerkeleyDBC,RandomSampling,0.013,-0.07261628419659505
BerkeleyDBC,RandomSampling,0.014,-0.048847408220362376
BerkeleyDBC,RandomSampling,0.015,-0.03262087611699627
BerkeleyDBC,RandomSampling,0.016,-0.044164799745849526
BerkeleyDBC,RandomSampling,0.017,-0.02368631845515401
BerkeleyDBC,RandomSampling,0.018,-0.031373508852237775
BerkeleyDBC,RandomSampling,0.019,-0.03739712235072967
BerkeleyDBC,RandomSampling,0.02,-0.031912165873851595
BerkeleyDBC,RandomSampling,0.021,-0.025059339733172648
BerkeleyDBC,RandomSampling,0.022,-0.026966345461498453
BerkeleyDBC,RandomSampling,0.023,-0.007749075246562542
BerkeleyDBC,RandomSampling,0.024,-0.007512693579455387
BerkeleyDBC,RandomSampling,0.025,-0.006352620789657926
BerkeleyDBC,RandomSampling,0.026,-0.01435542727924699
BerkeleyDBC,RandomSampling,0.027,-0.02159964648513013
BerkeleyDBC,RandomSampling,0.028,-0.028156513883447087
BerkeleyDBC,RandomSampling,0.029,-0.034090638698550224
BerkeleyDBC,RandomSampling,0.03,-0.03946061438473203
BerkeleyDBC,RandomSampling,0.031,-0.04431957340710391
BerkeleyDBC,RandomSampling,0.032,-0.03871569135414821
BerkeleyDBC,RandomSampling,0.033,-0.04269264496427494
BerkeleyDBC,RandomSampling,0.034,-0.046290028238400116
BerkeleyDBC,RandomSampling,0.035,-0.02954373043661518
BerkeleyDBC,RandomSampling,0.036,-0.03248627941625526
BerkeleyDBC,RandomSampling,0.037,-0.03514715345817998
BerkeleyDBC,RandomSampling,0.038,-0.02755306444518779
BerkeleyDBC,RandomSampling,0.039,-0.019728214998774307
BerkeleyDBC,RandomSampling,0.04,-0.021694531945692708
BerkeleyDBC,RandomSampling,0.041,-0.02347187827194963
BerkeleyDBC,RandomSampling,0.042,-0.015078245527138878
BerkeleyDBC,RandomSampling,0.043,-0.01652992846468182
BerkeleyDBC,RandomSampling,0.044,-0.0178416835420655
BerkeleyDBC,RandomSampling,0.045,-0.019026872758158175
BerkeleyDBC,RandomSampling,0.046,-0.020097594170833455
BerkeleyDBC,RandomSampling,0.047,-0.021064800316305865
BerkeleyDBC,RandomSampling,0.048,-0.021938405640679837
BerkeleyDBC,RandomSampling,0.049,-0.01272738395329176
BerkeleyDBC,RandomSampling,0.05,-0.013439856819574492
BerkeleyDBC,RandomSampling,0.051,-0.014083173727604481
BerkeleyDBC,RandomSampling,0.052,-0.01466398478644726
BerkeleyDBC,RandomSampling,0.053,-0.015188306645246286
BerkeleyDBC,RandomSampling,0.054,-0.005661582259065878
BerkeleyDBC,RandomSampling,0.055,-0.006088735070266638
BerkeleyDBC,RandomSampling,0.056,-0.006474218122134334
BerkeleyDBC,RandomSampling,0.057,-0.006822058574141088
BerkeleyDBC,RandomSampling,0.058,-0.00713589804517567
BerkeleyDBC,RandomSampling,0.059,-0.00741902917194015
BerkeleyDBC,RandomSampling,0.06,-0.007674428734129046
BerkeleyDBC,RandomSampling,0.061,-0.007904787665665602
BerkeleyDBC,RandomSampling,0.062,-0.008112538241869416
BerkeleyDBC,RandomSampling,0.063,-0.008299878705712027
BerkeleyDBC,RandomSampling,0.064,-0.008468795572038612
BerkeleyDBC,RandomSampling,0.065,-0.008621083826568565
BerkeleyDBC,RandomSampling,0.066,-0.008758365216445796
BerkeleyDBC,RandomSampling,0.067,-0.008882104810896574
BerkeleyDBC,RandomSampling,0.068,-0.008993625994013543
BerkeleyDBC,RandomSampling,0.069,-0.009094124036657658
BerkeleyDBC,RandomSampling,0.07,-0.009184678380826039
BerkeleyDBC,RandomSampling,0.071,-0.009266263757442328
BerkeleyDBC,RandomSampling,0.072,-0.009339760247274342
BerkeleyDBC,RandomSampling,0.073,-0.009405962384468225
BerkeleyDBC,RandomSampling,0.074,-0.00946558739291814
BerkeleyDBC,RandomSampling,0.075,0.0004807173627325856
BerkeleyDBC,RandomSampling,0.076,0.0004323676372969265
BerkeleyDBC,RandomSampling,0.077,0.0003888362092334674
BerkeleyDBC,RandomSampling,0.078,0.00034964736788356543
BerkeleyDBC,RandomSampling,0.079,0.00031437192853378537
BerkeleyDBC,RandomSampling,0.08,0.0002826227252563651
BerkeleyDBC,RandomSampling,0.081,0.0002540505361813272
BerkeleyDBC,RandomSampling,0.082,0.0002283404001147682
BerkeleyDBC,RandomSampling,0.083,0.00020520828728254337
BerkeleyDBC,RandomSampling,0.084,0.00018439809048464983
BerkeleyDBC,RandomSampling,0.085,0.00016567890612273484
BerkeleyDBC,RandomSampling,0.086,0.0001488425774464064
BerkeleyDBC,RandomSampling,0.087,0.00013370147497504536
BerkeleyDBC,RandomSampling,0.088,0.0001200864914209232
BerkeleyDBC,RandomSampling,0.089,0.00010784523058537943
BerkeleyDBC,RandomSampling,0.09,9.684037164481296e-05
BerkeleyDBC,RandomSampling,0.091,8.694819200727455e-05
BerkeleyDBC,RandomSampling,0.092,7.805723351594906e-05
BerkeleyDBC,RandomSampling,0.093,7.006709822421353e-05
BerkeleyDBC,RandomSampling,0.094,6.288736127724182e-05
BerkeleyDBC,RandomSampling,0.095,5.64365896214003e-05
BerkeleyDBC,RandomSampling,0.096,5.064145634192663e-05
BerkeleyDBC,RandomSampling,0.097,4.5435941397165e-05
BerkeleyDBC,RandomSampling,0.098,4.076061040581003e-05
BerkeleyDBC,RandomSampling,0.099,3.6561963936976305e-05
BerkeleyDBC,RandomSampling,0.1,3.279185047855293e-05
BerkeleyDBC,RandomSampling,0.101,2.9406936913001225e-05
BerkeleyDBC,RandomSampling,0.102,2.6368230921502978e-05
BerkeleyDBC,RandomSampling,0.103,2.3640650272938046e-05
BerkeleyDBC,RandomSampling,0.104,2.1192634440558855e-05
BerkeleyDBC,RandomSampling,0.105,1.899579442565802e-05
BerkeleyDBC,RandomSampling,0.106,1.7024597068759917e-05
BerkeleyDBC,RandomSampling,0.107,1.5256080480363643e-05
BerkeleyDBC,RandomSampling,0.108,1.3669597558663149e-05
BerkeleyDBC,RandomSampling,0.109,1.224658484366703e-05
BerkeleyDBC,RandomSampling,0.11,1.0970354233585944e-05
BerkeleyDBC,RandomSampling,0.111,9.825905320393069e-06
BerkeleyDBC,RandomSampling,0.112,8.799756326616226e-06
BerkeleyDBC,RandomSampling,0.113,7.8797918146023e-06
BerkeleyDBC,RandomSampling,0.114,7.0551255215711706e-06
BerkeleyDBC,RandomSampling,0.115,6.315976833537462e-06
BerkeleyDBC,RandomSampling,0.116,5.653559553175924e-06
BerkeleyDBC,RandomSampling,0.117,5.059981751709408e-06
BerkeleyDBC,RandomSampling,0.118,4.528155609584417e-06
BerkeleyDBC,RandomSampling,0.119,4.051716260833338e-06
