Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
BerkeleyDBC,RandomSampling,0.122,1.0,0.9999970995688627
BerkeleyDBC,RandomSampling,0.123,1.0,0.9999974060586645
BerkeleyDBC,RandomSampling,0.124,1.0,0.9999976804571253
BerkeleyDBC,RandomSampling,0.125,1.0,0.9999979260933881
BerkeleyDBC,RandomSampling,0.126,1.0,0.9999981459544562
BerkeleyDBC,RandomSampling,0.127,1.0,0.9999983427200236
BerkeleyDBC,RandomSampling,0.128,1.0,0.9999985187937926
BerkeleyDBC,RandomSampling,0.129,1.0,0.9999986763316314
BerkeleyDBC,RandomSampling,0.13,1.0,0.9999988172668851
BerkeleyDBC,RandomSampling,0.131,1.0,0.9999989433331278
BerkeleyDBC,RandomSampling,0.132,1.0,0.9999990560846095
BerkeleyDBC,RandomSampling,0.133,1.0,0.9999991569146308
BerkeleyDBC,RandomSampling,0.134,1.0,0.9999992470720526
BerkeleyDBC,RandomSampling,0.135,1.0,0.9999993276761285
BerkeleyDBC,RandomSampling,0.136,1.0,0.9999993997298287
BerkeleyDBC,RandomSampling,0.137,1.0,0.9999994641318066
BerkeleyDBC,RandomSampling,0.138,1.0,0.9999995216871475
BerkeleyDBC,RandomSampling,0.139,1.0,0.9999995731170173
BerkeleyDBC,RandomSampling,0.14,1.0,0.999999619067329
BerkeleyDBC,RandomSampling,0.141,1.0,0.9999996601165206
BerkeleyDBC,RandomSampling,0.142,1.0,0.9999996967825374
BerkeleyDBC,RandomSampling,0.143,1.0,0.9999997295290985
BerkeleyDBC,RandomSampling,0.144,1.0,0.9999997587713211
BerkeleyDBC,RandomSampling,0.145,1.0,0.9999997848807657
BerkeleyDBC,RandomSampling,0.146,1.0,0.9999998081899637
BerkeleyDBC,RandomSampling,0.147,1.0,0.9999998289964783
BerkeleyDBC,RandomSampling,0.148,1.0,0.9999998475665471
BerkeleyDBC,RandomSampling,0.149,1.0,0.9999998641383488
BerkeleyDBC,DiversifiedDistanceBased,0.0,0.0,0.0
BerkeleyDBC,DiversifiedDistanceBased,0.001,0.09,0.09339555059192428
BerkeleyDBC,DiversifiedDistanceBased,0.002,0.17,0.17814907903138177
BerkeleyDBC,DiversifiedDistanceBased,0.003,0.2,0.2550527615546916
BerkeleyDBC,DiversifiedDistanceBased,0.004,0.32,0.32482684626795744
BerkeleyDBC,DiversifiedDistanceBased,0.005,0.34,0.38812612157195225
BerkeleyDBC,DiversifiedDistanceBased,0.006,0.4,0.44554580852083614
BerkeleyDBC,DiversifiedDistanceBased,0.007,0.43,0.4976269279154968
BerkeleyDBC,DiversifiedDistanceBased,0.008,0.49,0.5448611884968069
BerkeleyDBC,DiversifiedDistanceBased,0.009,0.55,0.5876954385519864
BerkeleyDBC,DiversifiedDistanceBased,0.01,0.69,0.6265357195457308
BerkeleyDBC,DiversifiedDistanceBased,0.011,0.72,0.6617509570068023
BerkeleyDBC,DiversifiedDistanceBased,0.012,0.73,0.6936763208128897
BerkeleyDBC,DiversifiedDistanceBased,0.013,0.74,0.7226162841965951
BerkeleyDBC,DiversifiedDistanceBased,0.014,0.75,0.7488474082203623
BerkeleyDBC,DiversifiedDistanceBased,0.015,0.79,0.7726208761169963
BerkeleyDBC,DiversifiedDistanceBased,0.016,0.79,0.7941647997458495
BerkeleyDBC,DiversifiedDistanceBased,0.017,0.81,0.813686318455154
BerkeleyDBC,DiversifiedDistanceBased,0.018,0.81,0.8313735088522378
BerkeleyDBC,DiversifiedDistanceBased,0.019,0.83,0.8473971223507297
BerkeleyDBC,DiversifiedDistanceBased,0.02,0.84,0.8619121658738516
BerkeleyDBC,DiversifiedDistanceBased,0.021,0.85,0.8750593397331726
BerkeleyDBC,DiversifiedDistanceBased,0.022,0.87,0.8869663454614984
BerkeleyDBC,DiversifiedDistanceBased,0.023,0.88,0.8977490752465626
BerkeleyDBC,DiversifiedDistanceBased,0.024,0.88,0.9075126935794554
